"Name","Size (bytes)","QC status","Times scheduled","Version","Duration","TC In","Created","Updated"
"oopsla21main-p75-p-video","200768645","OK","0","3","0:14:57.24","0:00:00.00","2021-10-09T01:23:58","2021-10-09T02:20:02"
"oopsla21main-p83-p-video","320724764","OK","0","3","0:14:55.07","0:00:00.00","2021-10-09T01:24:08","2021-10-09T02:17:06"
"oopsla21main-p70-p-video","365451472","OK","0","3","0:14:26.20","0:00:00.00","2021-10-09T01:24:13","2021-10-09T02:15:49"
"oopsla21main-p542-p-video","184297456","OK","0","3","0:14:09.08","0:00:00.00","2021-10-09T01:24:03","2021-10-09T02:14:28"
"oopsla21main-p469-p-video","220080600","OK","0","3","0:14:15.03","0:00:00.00","2021-10-09T01:23:18","2021-10-09T02:12:50"
"oopsla21main-p47-p-video","242302629","OK","0","3","0:14:21.17","0:00:00.00","2021-10-09T01:23:26","2021-10-09T02:12:32"
"oopsla21main-p476-p-video","167163321","OK","0","3","0:14:57.15","0:00:00.00","2021-10-09T01:23:18","2021-10-09T02:11:48"
"oopsla21main-p507-p-video","211678766","WARNING","0","3","0:12:25.12","0:00:00.00","2021-10-09T01:23:11","2021-10-09T02:10:52"
"oopsla21main-p490-p-video","197704177","OK","0","3","0:14:21.03","0:00:00.00","2021-10-09T01:23:09","2021-10-09T02:10:42"
"oopsla21main-p49-p-video","245546576","OK","0","3","0:11:39.09","0:00:00.00","2021-10-09T01:23:03","2021-10-09T02:09:47"
"oopsla21main-p446-p-video","326101511","OK","0","3","0:14:58.11","0:00:00.00","2021-10-09T01:22:34","2021-10-09T02:09:07"
"oopsla21main-p448-p-video","363497401","OK","0","3","0:14:32.25","0:00:00.00","2021-10-09T01:22:13","2021-10-09T02:07:48"
"oopsla21main-p43-p-video","211462027","OK","0","3","0:14:49.24","0:00:00.00","2021-10-09T01:22:19","2021-10-09T02:06:26"
"oopsla21main-p426-p-video","191984028","OK","0","3","0:14:56.06","0:00:00.00","2021-10-09T01:22:17","2021-10-09T02:05:25"
"oopsla21main-p45-p-video","262847572","OK","0","3","0:14:59.23","0:00:00.00","2021-10-09T01:22:12","2021-10-09T02:05:01"
"oopsla21main-p410-p-video","195080008","OK","0","3","0:15:40.15","0:00:00.00","2021-10-09T01:21:51","2021-10-09T02:03:39"
"oopsla21main-p364-p-video","297688078","OK","0","3","0:14:29.00","0:00:00.00","2021-10-09T01:21:30","2021-10-09T02:03:19"
"oopsla21main-p344-p-video","120573948","OK","0","2","0:13:12.09","0:00:00.00","2021-10-09T01:21:36","2021-10-09T02:02:04"
"oopsla21main-p40-p-video","347157438","OK","0","3","0:14:25.08","0:00:00.00","2021-10-09T01:21:22","2021-10-09T02:01:44"
"oopsla21main-p42-p-video","303536061","OK","0","3","0:14:42.16","0:00:00.00","2021-10-09T01:21:26","2021-10-09T02:00:20"
"oopsla21main-p301-p-video","187806378","OK","0","3","0:14:58.07","0:00:00.00","2021-10-09T01:20:41","2021-10-09T01:59:37"
"oopsla21main-p32-p-video","220262056","OK","0","3","0:14:28.09","0:00:00.00","2021-10-09T01:20:19","2021-10-09T01:57:44"
"oopsla21main-p294-p-video","518848761","OK","0","3","0:13:58.08","0:00:00.00","2021-10-09T01:20:24","2021-10-09T01:57:22"
"oopsla21main-p245-p-video","282417012","OK","0","3","0:13:35.19","0:00:00.00","2021-10-09T01:20:54","2021-10-09T01:56:26"
"oopsla21main-p24-p-video","225087323","OK","0","3","0:14:36.05","0:00:00.00","2021-10-09T01:20:41","2021-10-09T01:55:09"
"oopsla21main-p27-p-video","179961479","OK","0","3","0:14:34.15","0:00:00.00","2021-10-09T01:20:35","2021-10-09T01:53:46"
"oopsla21main-p331-p-video","164312624","OK","0","3","0:12:32.06","0:00:00.00","2021-10-09T01:20:28","2021-10-09T01:53:04"
"oopsla21main-p237-p-video","198344518","OK","0","3","0:13:21.00","0:00:00.00","2021-10-09T01:19:33","2021-10-09T01:52:02"
"oopsla21main-p223-p-video","317167022","OK","0","3","0:14:58.09","0:00:00.00","2021-10-09T01:19:29","2021-10-09T01:51:09"
"oopsla21main-p236-p-video","334151588","OK","0","3","0:14:59.17","0:00:00.00","2021-10-09T01:19:26","2021-10-09T01:48:55"
"oopsla21main-p2-p-video","204551124","OK","0","3","0:14:38.03","0:00:00.00","2021-10-09T01:19:14","2021-10-09T01:48:31"
"oopsla21main-p215-p-video","184752916","OK","0","3","0:14:41.29","0:00:00.00","2021-10-09T01:18:42","2021-10-09T01:46:46"
"oopsla21main-p229-p-video","441260529","OK","0","3","0:15:00.04","0:00:00.00","2021-10-09T01:19:10","2021-10-09T01:46:33"
"oopsla21main-p183-p-video","285443190","OK","0","3","0:14:56.00","0:00:00.00","2021-10-09T01:18:30","2021-10-09T01:44:35"
"oopsla21main-p194-p-video","250347754","OK","0","3","0:14:16.26","0:00:00.00","2021-10-09T01:18:29","2021-10-09T01:43:56"
"oopsla21main-p184-p-video","394245546","OK","0","3","0:14:25.01","0:00:00.00","2021-10-09T01:18:29","2021-10-09T01:43:06"
"oopsla21main-p191-p-video","189055906","OK","0","3","0:13:54.12","0:00:00.00","2021-10-09T01:18:19","2021-10-09T01:42:31"
"oopsla21main-p180-p-video","281851380","OK","0","3","0:14:56.16","0:00:00.00","2021-10-09T01:18:13","2021-10-09T01:41:48"
"oopsla21main-p181-p-video","131902828","OK","0","3","0:14:52.13","0:00:00.00","2021-10-09T01:17:25","2021-10-09T01:40:20"
"oopsla21main-p170-p-video","194025149","OK","0","3","0:14:23.26","0:00:00.00","2021-10-09T01:17:38","2021-10-09T01:39:24"
"oopsla21main-p18-p-video","268399736","OK","0","3","0:14:05.06","0:00:00.00","2021-10-09T01:17:19","2021-10-09T01:38:47"
"oopsla21main-p153-p-video","671627481","OK","0","3","0:14:58.26","0:00:00.00","2021-10-09T01:16:57","2021-10-09T01:38:12"
"oopsla21main-p169-p-video","349496073","OK","0","3","0:15:00.05","0:00:00.00","2021-10-09T01:16:49","2021-10-09T01:36:40"
"oopsla21main-p161-p-video","208324481","OK","0","3","0:12:58.18","0:00:00.00","2021-10-09T01:16:58","2021-10-09T01:36:16"
"oopsla21main-p157-p-video","254913137","OK","0","3","0:14:39.15","0:00:00.00","2021-10-09T01:16:51","2021-10-09T01:34:33"
"oopsla21main-p17-p-video","385961751","OK","0","3","0:14:57.12","1:00:00.00","2021-10-09T01:16:53","2021-10-09T01:33:39"
"oopsla21main-p141-p-video","308028208","OK","0","3","0:14:46.11","0:00:00.00","2021-10-09T01:16:42","2021-10-09T01:32:46"
"oopsla21main-p143-p-video","394204017","OK","0","3","0:14:57.15","0:00:00.00","2021-10-09T01:16:20","2021-10-09T01:31:43"
"oopsla21main-p150-p-video","205770353","OK","0","3","0:14:17.08","0:00:00.00","2021-10-09T01:16:22","2021-10-09T01:30:34"
"oopsla21main-p142-p-video","204679810","OK","0","3","0:15:02.25","0:00:00.00","2021-10-09T01:16:21","2021-10-09T01:30:05"
"oopsla21main-p125-p-video","215783934","OK","0","3","0:12:53.21","0:00:00.00","2021-10-09T01:16:15","2021-10-09T01:28:48"
"oopsla21main-p133-p-video","419761407","OK","0","3","0:14:58.25","0:00:00.00","2021-10-09T01:15:26","2021-10-09T01:27:52"
"oopsla21main-p14-p-video","182734615","OK","0","3","0:13:36.11","0:00:00.00","2021-10-09T01:16:11","2021-10-09T01:26:21"
